Num	MZ	True_MZ	0.806612601	L_MZ	D_MZ_Error_ppm	FoundInScans	D_MZ_Peak_Error_mean_ppm	D_MZ_Peak_Error_sd_ppm	D_MZ_Min_ppm	D_MZ_Max_ppm	Quant20_MZ_Diff_ppm	Quant80_MZ_Diff_ppm	RT	True_RT	0.106051154	negative = earlier	Shift	Xn	Charge	ScanEvent	Ionisation_Mode	Tracer	Area_N	Area_L	Fold	PeakRatio	LeftBorder_N	RightBorder_N	LeftBorder_L	RightBorder_L	Group_ID	Corr	Adducts	Hetero_Elements	ObservedIsoRatioMean_native_1	ObservedIsoRatioSD_native_1	TheoreticalIsoRatio_native_1	ObservedIsoRatioMean_labelled_1	ObservedIsoRatioSD_labelled_1	TheoreticalIsoRatio_labelled_1	CM12C_13CFg1.Area	CM12C_13CFg1.RT-Shift	CM12C_13CFg1.MZ-Shift	CM12C_13CFg1.MZ
403	334.1486538	334.1486538	0	348.1956082	0.162661137	10	0.482606941	0.718065244	-0.622793078	2.573734043	-0.074817	0.875008201	4.254892591	4.48625	0		0.001202747	14	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	22396.50169	29192.45819	0.767201636	0.747992251	17	17	17	17	18	0.955122764	-	-	0.15297	0.02689	0.15142	0.2054	0.03262	0.19878	23031.67	0.2313571	-0.1826587	334.1486
2820	338.1799												4.2057233					12		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										18										41607.062	0.22914362	0.27072197	338.18
2822	366.21118												4.2057233					12		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										18										46057.688	0.22914362	0.16666657	366.21124
32	122.0959851	122.0959851	0	130.1228025	0.142387974	19	0.47892049	0.638345277	-0.233050987	2.20393649	-0.020595668	0.841722977	4.76829599	5.036516667	0		-0.012881357	8	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	106268.8001	66424.30079	1.599848231	2.445029881	16.5	16.5	16.5	16.5	19	0.958419105	-	-	0.04684	0.00855	0.08653	0.07878	0.02964	0.11359	106313.55	0.2682209	-0.43740803	122.09593
357	335.6122288	334.1122288	1	347.1557846	0.017437255	27	0.052848921	0.71377857	-1.465666993	2.644601646	-0.278256053	0.342851208	4.854561621	5.108266667	0		0.004475998	13	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	118409.4261	59046.24409	2.005367623	2.06177312	9	17	6.5	17	21	0.971337501	-	37Cl1 (scans: 4, obs: 33.5%, exp: 32.0%), 41K1 (scans: 8, obs: 9.4%, exp: 7.5%)	0.1134	0.02261	0.1406	0.16213	0.03549	0.18458				
2830	334.11224												4.854562					13		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										21										122503.734	0.25370502	-0.5480358	334.11206
295	309.6330447	308.1330447	1	320.1732534	0.028023609	36	-0.061054078	0.832996285	-3.097345603	1.260426017	-0.324218209	0.36906364	4.86008013	5.108266667	0		0.009994508	12	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	136380.6028	107057.9083	1.273895642	1.283010882	17	17	17	17	20	0.981657607	-	-	0.10314	0.01778	0.12979	0.14581	0.02908	0.17039				
2828	308.13306												4.8600802					12		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										20										139801.8	0.24818659	-0.39616105	308.13293
49	239.5915478	238.0915478	1	246.1183423	-0.023108758	8	0.04711743	0.728904278	-2.522807656	1.771082138	-0.420724294	0.438053664	5.008036667	5.287333333	0		-0.014156339	8	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	30767.94887	80408.02561	0.382647735	0.363335596	17	17	17	17	22	0.956742052	-	-	0.12367	0.02654	0.08653	0.08721	0.0217	0.11359				
2832	238.09155												5.0080366					8		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										22										31542.092	0.2792964	0.32043952	238.09163
82	204.6384293	203.1384293	1	212.1686963	0.576198213	10	0.602471773	0.621589287	-0.969767616	1.734380527	0.277145139	0.983228265	5.032091054	5.3056	0		-0.007669444	9	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	42963.05406	34751.89614	1.236279422	1.330052678	17	17	15	15	23	0.88803051	-	-	0.10304	0.03295	0.09734	0.2059	0.07278	0.12779				
